,prefecture,adresse
0,Préfecture de l'Ain,"45 av. d'Alsace Lorraine, 01012 BOURG-EN-BRESSE CEDEX"
1,Préfecture de l'Aisne,"2 rue Paul Doumer, 02010 LAON CEDEX"
2,Préfecture de l'Allier,"2 rue Michel de l'Hôpital, 03016 MOULINS CEDEX"
3,Préfecture des Alpes de Haute-Provence,"8 rue du Dr Romieu, 04016 DIGNE CEDEX"
4,Préfecture des Hautes-Alpes,"28 rue Saint-Arey BP 100, 05011 GAP CEDEX"
5,Préfecture des Alpes-Maritimes,"CADAM route de Grenoble, 06086 NICE CEDEX 3"
6,Préfecture de l'Ardèche,"Rue Pierre Filliat BP 721, 07007 PRIVAS CEDEX"
7,Préfecture des Ardennes,"1 place de la préfecture, 08011 Charleville-Mézières CEDEX"
8,Préfecture de l'Ariège,"2 rue de la préfecture BP 87, 09007 FOIX CEDEX"
9,Préfecture de l'Aube,"Place de la Libération BP 372, 10025 TROYES CEDEX"
10,Préfecture de l'Aude,"52 rue Jean Bringer, 11012 CARCASSONNE CEDEX"
11,Préfecture des Bouches-du-Rhône,"Bd Paul Peytral, 13282 MARSEILLE CEDEX 20"
12,Préfecture de l'Aveyron,"7 place Charles de Gaulle, 12007 RODEZ CEDEX"
13,Préfecture du Calvados,"Rue Saint-Laurent, 14038 CAEN CEDEX"
14,Préfecture du Cantal,"Place de la Préfecture BP 529, 15005 AURILLAC"
15,Préfecture de la Charente,"7-9 rue de la Préfecture, 16017 ANGOULEME CEDEX"
16,Préfecture de la Charente-Maritime,"38 rue Réaumur, 17017 LA ROCHELLE CEDEX 01"
17,Préfecture du Cher,"place Marcel Plaisant, 18014 BOURGES CEDEX"
18,Préfecture de la Corrèze,"rue Souham BP 250, 19012 TULLE CEDEX"
19,Préfecture de la Côte-d'Or,"53 rue de la Préfecture, 21041 DIJON CEDEX"
20,Préfecture des Côtes-d'Armor,"place du Gal de Gaulle BP 2370, 22023 SAINT-BRIEUC CEDEX 1"
21,Préfecture de la Creuse,"place Louis Lacroq BP 79, 23011 GUERET CEDEX"
22,Préfecture de la Dordogne,"2 rue Paul-Louis Courrier, 24016 PERIGUEUX CEDEX"
23,Préfecture du Doubs,"8 bis rue Ch. Nodier, 25035 BESANCON CEDEX"
24,Préfecture de la Drôme,"3 bd Vauban BP 1040, 26030 VALENCE CEDEX 9"
25,Préfecture de l'Eure,"bd G. Chauvin, 27022 EVREUX CEDEX"
26,Préfecture de l'Eure-et-Loir,"place de la République, 28019 CHARTRES CEDEX"
27,Préfecture du Finistère,"40 Quai Dupleix, 29320 QUIMPER"
28,Préfecture du Gard,"10 avenue Feuchères, 30045 NIMES CEDEX"
29,Préfecture de la Haute-Garonne,"Place Saint-Etienne, 31038 TOULOUSE CEDEX 9"
30,Préfecture du Gers,"3 place du Préfet Claude Erignac BP 322, 32007 AUCH CEDEX"
31,Préfecture de la Gironde,"Esplanade Ch. de Gaulle, 33077 BORDEAUX CEDEX"
32,Préfecture de l'Hérault,"34 place des Martyrs de la Résistance, 34062 MONTPELLIER CEDEX 02"
33,Préfecture de l'Ille-et-Vilaine,"3 av. de la Préfecture, 35026 RENNES CEDEX 9"
34,Préfecture de l'Indre,"Place de la Victoire et des Alliés BP 583, 36019 CHATEAUROUX CEDEX"
35,Préfecture de l'Indre-et-Loire,"Place de la Préfecture BP 3208, 37032 TOURS CEDEX 1"
36,Préfecture de l'Isère,"place de Verdun BP 1046, 38021 GRENOBLE CEDEX 01"
37,Préfecture du Jura,"55 rue Saint-Désiré, 39021 LONS-LE-SAUNIER"
38,Préfecture des Landes,"24-26 rue Victor Hugo, 40021 MONT-DE-MARSAN CEDEX"
39,Préfecture du Loir-et-Cher,"1 Place de la République, 41018 BLOIS CEDEX"
40,Préfecture de la Loire,"2 rue Charles de Gaulle, 42022 SAINT-ETIENNE CEDEX 1"
41,Préfecture de la Haute-Loire,"6 av. du Gal de Gaulle BP 321, 43011 LE PUY-EN-VELAY CEDEX"
42,Préfecture de la Loire-Atlantique,"6 quai Ceineray BP 33515, 44035 NANTES CEDEX 1"
43,Préfecture du Loiret,"181 rue de Bourgogne, 45042 ORLEANS CEDEX"
44,Préfecture du Lot,"place Chapou, 46009 CAHORS CEDEX"
45,Préfecture de Lot-et-Garonne,"place de Verdun, 47920 AGEN CEDEX 9"
46,Préfecture de la Lozère,"rue de la Rovère, 48005 MENDE CEDEX"
47,Préfecture de Maine-et-Loire,"Place Michel de Bré, 49034 ANGERS CEDEX 01"
48,Préfecture de la Manche,"place de la Préfecture, 50009 SAINT-LÔ CEDEX"
49,Préfecture de la Marne,"1 rue Jessaint, 51036 CHÂLONS-EN-CHAMPAGNE"
50,Préfecture de la Haute-Marne,"89 rue de la Victoire de la Marne, 52011 CHAUMONT CEDEX"
51,Préfecture de la Mayenne,"46 rue Mazagran BP 1507, 53015 LAVAL CEDEX"
52,Préfecture de la Meurthe-et-Moselle,"1 rue Préfet Claude Erignac, 54016 NANCY CEDEX"
53,Préfecture de la Meuse,"40 rue du Bourg, 55012 BAR-LE-DUC CEDEX"
54,Préfecture du Morbihan,"place du Gal de Gaulle, 56019 VANNES CEDEX"
55,Préfecture de la Moselle,"place de la Préfecture, 57034 METZ CEDEX"
56,Préfecture de la Nièvre,"40 rue de la Préfecture BP 840, 58019 NEVERS CEDEX"
57,Préfecture du Nord,"Place de la République 123 rue Nationale, 59039 LILLE CEDEX"
58,Préfecture de l'Oise,"1 place de la Préfecture, 60022 BEAUVAIS CEDEX"
59,Préfecture de l'Orne,"39 rue St-Blaise, 61019 ALENÇON CEDEX"
60,Préfecture du Pas-de-Calais,"rue Ferdinand Buisson, 62020 ARRAS CEDEX 09"
61,Préfecture du Puy-de-Dôme,"18 Bd Desaix, 63033 CLERMONT-FERRAND CEDEX 01"
62,Préfecture des Pyrénées-Atlantiques,"2 rue Maréchal Joffre, 64021 PAU CEDEX"
63,Préfecture des Hautes-Pyrénées,"Place Charles de Gaulle Rue des Ursulines, 65013 TARBES CEDEX"
64,Préfecture des Pyrénées-Orientales,"24 Quai Sadi Carnot, 66951 PERPIGNAN CEDEX"
65,Préfecture du Bas-Rhin,"Petit Broglie 5 Place de la République, 67073 STRASBOURG CEDEX"
66,Préfecture du Haut-Rhin,"7 rue Bruat BP 489, 68020 COLMAR CEDEX"
67,Préfecture du Rhône,"106 rue Pierre Corneille, 69419 LYON CEDEX 03"
68,Préfecture de la Haute-Saône,"1 rue de la préfecture BP 429, 70013 VESOUL CEDEX"
69,Préfecture de Saône-et-Loire,"rue Dinet et rue de Strasbourg, 71021 MACON CEDEX 9"
70,Préfecture de la Sarthe,"place Atistide Briand, 72041 LE MANS CEDEX 9"
71,Préfecture de la Savoie,"Château des Ducs de Savoie BP 1801, 73018 CHAMBERY CEDEX"
72,Préfecture de la Haute-Savoie,"rue du 30ème régiment d’infanterie BP 2332, 74034 ANNECY CEDEX"
73,Préfecture de Police,"4 bld du Palais, 75195 PARIS RP"
74,Préfecture de Paris,"17 Boulevard Morland, 75915 PARIS CEDEX 04"
75,Préfecture d'Ile-de-France,"29 rue Barbet de Jouy, 75700 PARIS"
76,Préfecture de la Seine-Maritime,"7 place de la Madeleine, 76036 ROUEN CEDEX"
77,Préfecture de Seine-et-Marne,"place de la Préfecture, 77010 MELUN CEDEX"
78,Préfecture des Yvelines,"1 rue Jean Houdon et avenue de l'Europe, 78010 VERSAILLES CEDEX"
79,Préfecture des Deux-Sèvres,"4 rue du Guesclin, 79021 NIORT CEDEX"
80,Préfecture de la Somme,"51 rue de la République, 80020 AMIENS CEDEX"
81,Préfecture du Tarn,"Place de la Préfecture, 81013 ALBI CEDEX"
82,Préfecture du Tarn-et-Garonne,"2 boulevard Midi-Pyrénées BP 779, 82013 MONTAUBAN CEDEX"
83,Préfecture du Var,"Bd du 112ème régiment d’Infanterie Quartier les Lices, 83070 TOULON CEDEX"
84,Préfecture du Vaucluse,"4 rue Viala, 84905 AVIGNON CEDEX 9"
85,Préfecture de la Vendée,"29 rue Delille, 85022 LA ROCHE SUR YON CEDEX"
86,Préfecture de la Vienne,"Place A. Briand BP 589, 86021 POITIERS CEDEX"
87,Préfecture de la Haute-Vienne,"1 rue de la Préfecture, 87031 LIMOGES"
